20,7,,,,,,
4,0.583780781,0.506891252,0.459605629,0.441643108,0.428709514,30.36,1
5,0.606412684,0.557901057,0.543545387,0.542135886,0.541937126,22.67779503,1
2,0.724016574,0.659083515,0.622509016,0.613735837,0.61069256,43.22,1
3,0.700772463,0.663968989,0.655637447,0.655203437,0.655173071,58,1
6,0.512257748,0.435720214,0.405168425,0.400893384,0.40007543,36.658,1
3,0.803850732,0.786795725,0.784079762,0.78400274,0.78400002,23.936,1
5,0.637203713,0.588349363,0.57313234,0.571644576,0.57144025,24.19571429,1
2,0.905538514,0.900411335,0.900003048,0.900000027,0.9,74.1,0
2,0.710556622,0.63606313,0.585220619,0.567201571,0.556572531,15.79120879,1
2,0.871320836,0.86123493,0.860019663,0.860000372,0.860000001,14.92,1
3,0.780424564,0.75567455,0.750273739,0.750015704,0.75000025,44.4125,1
5,0.609260296,0.570817551,0.563621083,0.563334905,0.563319032,24.31004367,1
4,0.632743904,0.590299311,0.581011736,0.580564958,0.580537385,22.17785235,0
5,0.588802174,0.536298045,0.521353773,0.520141143,0.520005848,19.808,0
4,0.608842747,0.555106447,0.538796958,0.537257697,0.537049048,24.3117284,1
5,0.613442026,0.557363112,0.536755598,0.53396624,0.533420997,21.8324555,1
4,0.529491683,0.434830519,0.374190926,0.351337704,0.335172295,34.37837838,1
4,0.654898206,0.598308293,0.576874426,0.573986083,0.573430563,24.9013083,1
4,0.646507582,0.583372038,0.55517428,0.550032058,0.54865623,40.49360146,1
3,0.637377439,0.564294679,0.521835792,0.509034206,0.502746814,27.375,1
